Attribute Name,Role,Type,Description,Units,Missing Values
Mother's occupation,Feature,Discrete,"0 - Student 1 - Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers 2 - Specialists in Intellectual and Scientific Activities 3 - Intermediate Level Technicians and Professions 4 - Administrative staff 5 - Personal Services, Security and Safety Workers and Sellers 6 - Farmers and Skilled Workers in Agriculture, Fisheries and Forestry 7 - Skilled Workers in Industry, Construction and Craftsmen 8 - Installation and Machine Operators and Assembly Workers 9 - Unskilled Workers 10 - Armed Forces Professions 90 - Other Situation 99 - (blank) 122 - Health professionals 123 - teachers 125 - Specialists in information and communication technologies (ICT) 131 - Intermediate level science and engineering technicians and professions 132 - Technicians and professionals, of intermediate level of health 134 - Intermediate level technicians from legal, social, sports, cultural and similar services 141 - Office workers, secretaries in general and data processing operators 143 - Data, accounting, statistical, financial services and registry-related operators 144 - Other administrative support staff 151 - personal service workers 152 - sellers 153 - Personal care workers and the like 171 - Skilled construction workers and the like, except electricians 173 - Skilled workers in printing, precision instrument manufacturing, jewelers, artisans and the like 175 - Workers in food processing, woodworking, clothing and other industries and crafts 191 - cleaning workers 192 - Unskilled workers in agriculture, animal production, fisheries and forestry 193 - Unskilled workers in extractive industry, construction, manufacturing and transport 194 - Meal preparation assistants",,FALSE
Father's occupation,Feature,Discrete,"0 - Student 1 - Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers 2 - Specialists in Intellectual and Scientific Activities 3 - Intermediate Level Technicians and Professions 4 - Administrative staff 5 - Personal Services, Security and Safety Workers and Sellers 6 - Farmers and Skilled Workers in Agriculture, Fisheries and Forestry 7 - Skilled Workers in Industry, Construction and Craftsmen 8 - Installation and Machine Operators and Assembly Workers 9 - Unskilled Workers 10 - Armed Forces Professions 90 - Other Situation 99 - (blank) 101 - Armed Forces Officers 102 - Armed Forces Sergeants 103 - Other Armed Forces personnel 112 - Directors of administrative and commercial services 114 - Hotel, catering, trade and other services directors 121 - Specialists in the physical sciences, mathematics, engineering and related techniques 122 - Health professionals 123 - teachers 124 - Specialists in finance, accounting, administrative organization, public and commercial relations 131 - Intermediate level science and engineering technicians and professions 132 - Technicians and professionals, of intermediate level of health 134 - Intermediate level technicians from legal, social, sports, cultural and similar services 135 - Information and communication technology technicians 141 - Office workers, secretaries in general and data processing operators 143 - Data, accounting, statistical, financial services and registry-related operators 144 - Other administrative support staff 151 - personal service workers 152 - sellers 153 - Personal care workers and the like 154 - Protection and security services personnel 161 - Market-oriented farmers and skilled agricultural and animal production workers 163 - Farmers, livestock keepers, fishermen, hunters and gatherers, subsistence 171 - Skilled construction workers and the like, except electricians 172 - Skilled workers in metallurgy, metalworking and similar 174 - Skilled workers in electricity and electronics 175 - Workers in food processing, woodworking, clothing and other industries and crafts 181 - Fixed plant and machine operators 182 - assembly workers 183 - Vehicle drivers and mobile equipment operators 192 - Unskilled workers in agriculture, animal production, fisheries and forestry 193 - Unskilled workers in extractive industry, construction, manufacturing and transport 194 - Meal preparation assistants 195 - Street vendors (except food) and street service providers",,FALSE
Admission grade,Feature,Continuous,Admission grade (between 0 and 200),,FALSE
Displaced,Feature,Discrete,1 – yes 0 – no,,FALSE
Educational special needs,Feature,Discrete,1 – yes 0 – no,,FALSE
Debtor,Feature,Discrete,1 – yes 0 – no,,FALSE
Tuition fees up to date,Feature,Discrete,1 – yes 0 – no,,FALSE
Gender,Feature,Discrete,1 – male 0 – female,,FALSE
Scholarship holder,Feature,Discrete,1 – yes 0 – no,,FALSE
Age at enrollment,Feature,Discrete,Age of studend at enrollment,,FALSE
International,Feature,Discrete,1 – yes 0 – no,,FALSE
Curricular units 1st sem (credited),Feature,Discrete,Number of curricular units credited in the 1st semester,,FALSE
Curricular units 1st sem (enrolled),Feature,Discrete,Number of curricular units enrolled in the 1st semester,,FALSE
Curricular units 1st sem (evaluations),Feature,Discrete,Number of evaluations to curricular units in the 1st semester,,FALSE
Curricular units 1st sem (approved),Feature,Discrete,Number of curricular units approved in the 1st semester,,FALSE
Curricular units 1st sem (grade),Feature,Discrete,Grade average in the 1st semester (between 0 and 20),,FALSE
Curricular units 1st sem (without evaluations),Feature,Discrete,Number of curricular units without evalutions in the 1st semester,,FALSE
Curricular units 2nd sem (credited),Feature,Discrete,Number of curricular units credited in the 2nd semester,,FALSE
Curricular units 2nd sem (enrolled),Feature,Discrete,Number of curricular units enrolled in the 2nd semester,,FALSE
Curricular units 2nd sem (evaluations),Feature,Discrete,Number of evaluations to curricular units in the 2nd semester,,FALSE
Curricular units 2nd sem (approved),Feature,Discrete,Number of curricular units approved in the 2nd semester,,FALSE
Curricular units 2nd sem (grade),Feature,Discrete,Grade average in the 2nd semester (between 0 and 20),,FALSE
Curricular units 2nd sem (without evaluations),Feature,Discrete,Number of curricular units without evalutions in the 1st semester,,FALSE
Unemployment rate,Feature,Continuous,Unemployment rate (%),,FALSE
Inflation rate,Feature,Continuous,Inflation rate (%),,FALSE
GDP,Feature,Continuous,GDP,,FALSE
Target,Target,Categorical,"Target. The problem is formulated as a three category classification task (dropout, enrolled, and graduate) at the end of the normal duration of the course",,FALSE
